generation,best,mean,worst,cache_hits,cache_misses
88,4421478.336494852,3939784.1822320917,97248.07684368557,0,0
89,4494936.090119523,3986719.1357770134,45760.87563872335,0,0
90,4658546.798902437,4065898.9259791276,63034.10116982278,0,0
91,4642838.668255037,4111359.6230583647,2127085.51720609,0,0
92,4662571.636385803,4109679.505181656,46049.03325603579,0,0
93,4688487.465865982,4179684.973617489,71621.22588004051,0,0
94,4779127.7906925725,4185779.049521224,0.0,0,0
95,4779479.030654746,4311823.195286705,2120369.680826952,0,0
96,4793517.17716997,4325649.010116737,72280.67736490995,0,0
97,4743229.117172787,4055644.8904490788,55893.67722086437,0,0
98,4829065.123195579,4324718.33890848,2116227.4516396504,0,0
99,4880486.926349183,4186780.255237957,56210.43213644465,0,0
