generation,best,mean,worst,cache_hits,cache_misses
52,278021.85583190154,265340.44894957927,14136.176893951071,0,0
53,282583.3145287501,254996.03903401428,14549.196405258464,0,0
54,282798.53061287943,274637.79256616085,261510.60702145213,0,0
55,285888.199143192,254366.51024490767,14568.021503429614,0,0
56,285340.7575374861,263589.554564345,19667.36601959194,0,0
57,289132.99639818224,270678.8285884492,18386.2537659184,0,0
58,289404.16357134236,259888.75895446638,13166.547802693378,0,0
59,291486.01971014036,277203.1694916938,20127.06169356322,0,0
60,294596.56789945846,279569.99129765586,21255.07652987062,0,0
61,295119.665963334,282553.8363060488,32439.808675964465,0,0
62,295277.25148679304,268392.79301488766,13263.43330368539,0,0
63,297354.53876440873,279451.5462471654,16803.843156872947,0,0
64,297354.53876440873,278919.0043712249,15573.290450293407,0,0
65,297354.53876440873,282979.9930797669,29772.15920201449,0,0
66,298766.29550013144,284169.9719059766,22093.594472390898,0,0
67,299090.00525577227,286213.1300070412,18464.7046891204,0,0
68,300683.36329535395,275311.8386973931,10837.222372632643,0,0
69,302978.6955050409,288596.5018141544,21730.856972263653,0,0
70,302978.6955050409,281264.73286853003,16916.40370082786,0,0
71,302768.48391163745,292388.3126416532,26960.97994939671,0,0
72,304184.44223311584,291363.55392203387,14368.784647080267,0,0
73,304958.2037773937,279881.344036522,14363.435387188405,0,0
74,307882.9483615697,294625.08184385323,11109.495131238667,0,0
75,312170.61813939747,290665.1153703533,14583.663550753017,0,0
76,312170.61813939747,298228.01425806055,20839.684709079203,0,0
77,313434.4909978803,296632.8253807567,32167.63981129337,0,0
78,313232.0752029899,295550.16413275053,12645.553300589438,0,0
79,315081.5286694591,302474.18049512303,20465.3501165715,0,0
80,317766.344232392,293760.446405705,14619.024113922025,0,0
81,317750.7899525669,298282.7712513124,18321.69846617697,0,0
82,318013.6176012181,303070.4536083327,23381.715920081308,0,0
83,320811.4420341953,312677.10365750716,279907.25669101236,0,0
84,321150.75376550975,312716.5985955452,261213.09594989652,0,0
85,322494.8474522174,316876.791059526,296916.02077285585,0,0
86,323105.59891390783,305644.87171127804,17217.151657222872,0,0
87,325897.8364319155,317141.53161073703,274692.63723263313,0,0
88,326953.1963765954,313907.79050490685,16334.363178898999,0,0
89,328832.8669221973,308927.00502002775,14895.381661317186,0,0
90,329438.03593489825,309887.5873002704,13538.06852652758,0,0
91,332471.8936196748,310286.2052051987,13754.424608081408,0,0
92,332471.8936196748,314039.49428398313,25687.47253269447,0,0
93,332471.8936196748,314425.38771892816,24873.0644026468,0,0
94,332035.605651112,321679.6447716112,19812.507956992064,0,0
95,334037.1972356008,311438.51138873945,20945.625597578568,0,0
96,335551.7658569331,319421.92709914304,17393.89942498557,0,0
97,335551.7658569331,304602.4336553964,17438.70450725404,0,0
98,335587.7409065337,312631.22880640085,14920.939894568102,0,0
99,336159.5667747706,317016.5876578641,15608.860124226972,0,0
