generation,best,mean,worst,cache_hits,cache_misses
83,508366.8214229396,480481.0844364356,42919.622799136414,0,0
84,510599.38741404086,472833.29217588535,0.0,0,0
85,511852.58470375405,500352.03534257045,442582.9205379882,0,0
86,514624.9377663576,493570.9486741234,35178.10916832633,0,0
87,515925.6679996867,494028.26858213224,39660.18181720277,0,0
88,518022.64368443965,492770.7155953505,48247.26768523027,0,0
89,517020.93058156956,495875.2925278829,44970.505220087936,0,0
90,518874.46351812046,493788.4072415552,50601.65830297344,0,0
91,521437.3105237638,502813.4095707202,402340.1233576215,0,0
92,520470.9141114575,493450.743543965,34901.44526362518,0,0
93,525716.7607003492,501721.387335334,49350.07957389519,0,0
94,524750.9003380617,488116.64255484554,0.0,0,0
95,526145.6353739888,513775.08755503927,452707.23475985473,0,0
96,527975.4068902641,507090.6026908803,39801.02983768535,0,0
97,529075.4424190947,496618.02113023546,33054.23804056758,0,0
98,528739.2824767975,518573.5565787386,442627.0287534467,0,0
99,530186.1125156148,498784.08123308484,43027.654907259326,0,0
